City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
8,San Antonio,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
9,Sibolga,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
10,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
15,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
16,Cidreira,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
18,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
22,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Faanui,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
28,Sumbawa,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
31,Atambua,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
33,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
34,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
35,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
