City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Saldanha,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
1,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
2,Souillac,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
3,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
4,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
5,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
6,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
7,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
8,San Antonio,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
9,Sibolga,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
10,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
11,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
12,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
13,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
14,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
15,Castro,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
16,Cidreira,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
17,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
18,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
19,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
20,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
21,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
22,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
23,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
24,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
25,Faanui,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
26,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
27,Coffs Harbour,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
28,Sumbawa,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
29,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
30,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
31,Atambua,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
32,Mount Gambier,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
33,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
34,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
35,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
36,Sucua,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
37,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
38,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
39,Westport,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
40,Thinadhoo,0.5333,72.9333,81.99,74,50,4.52,MV,scattered clouds
41,San Carlos De Bariloche,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
42,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
43,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
44,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
45,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
46,Luderitz,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
47,Avera,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
48,Port Lincoln,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
49,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
50,Chuy,-33.6971,-53.4616,56.43,82,25,12.57,UY,scattered clouds
51,Luderitz,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
52,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
53,Souillac,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
54,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
55,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
56,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
57,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
58,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
59,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
60,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
61,Senanga,-16.1167,23.2667,73.06,31,67,3.58,ZM,broken clouds
62,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
63,Kaputa,-16.1167,23.2667,73.06,31,67,3.58,ZM,broken clouds
64,Luderitz,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
65,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
66,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
67,Alta Floresta,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
68,New Norfolk,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
69,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
70,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
71,Hithadhoo,0.5333,72.9333,81.99,74,50,4.52,MV,scattered clouds
72,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
73,Mahebourg,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
74,Bredasdorp,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
75,Victoria,22.2855,114.1577,87.24,86,3,3.0,HK,clear sky
76,New Norfolk,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
77,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
78,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
79,Jaru,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
80,Luwuk,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
81,Carnarvon,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
82,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
83,Plettenberg Bay,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
84,Asau,46.4333,26.4,49.28,89,5,1.3,RO,light rain
85,Castro,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
86,Senanga,-16.1167,23.2667,73.06,31,67,3.58,ZM,broken clouds
87,Ancud,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
88,Metro,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
89,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
90,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
91,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
92,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
93,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
94,Grand River South East,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
95,Fare,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
96,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
97,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
98,Martapura,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
99,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
100,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
101,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
102,Kruisfontein,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
103,Bredasdorp,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
104,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
105,Labuhan,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
106,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
107,Isangel,-19.55,169.2667,78.33,72,53,14.03,VU,broken clouds
108,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
